PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2017,8,X,7.42094,X,X,X,X,X,X,650,25,8759
States,Texas,2017,8,X,8.99901,X,X,X,X,X,X,2635,106,29281
States,Alabama,2017,9,X,6.29416,X,X,X,X,X,X,490,24,7785
States,Texas,2017,9,X,7.50649,X,X,X,X,X,X,2256,107,30054
States,Alabama,2017,10,X,6.59379,X,X,X,X,X,X,567,25,8599
States,Texas,2017,10,X,7.26928,X,X,X,X,X,X,2107,105,28985
States,Alabama,2017,11,X,5.96548,X,X,X,X,X,X,477,24,7996
States,Texas,2017,11,X,5.85242,X,X,X,X,X,X,1403,104,23973
States,Alabama,2017,12,X,6.78633,X,X,X,X,X,X,586,25,8635
States,Texas,2017,12,X,4.48645,X,X,X,X,X,X,1258,104,28040
States,Alabama,2017,13,X,5.18245,X,X,X,X,X,X,365,22,7043
States,Texas,2017,13,X,4.00722,X,X,X,X,X,X,1065,101,26577
States,Alabama,2017,14,X,3.28208,X,X,X,X,X,X,222,24,6764
States,Texas,2017,14,X,3.50145,X,X,X,X,X,X,906,101,25875
States,Alabama,2017,15,X,2.89855,X,X,X,X,X,X,210,23,7245
States,Texas,2017,15,X,3.41597,X,X,X,X,X,X,835,99,24444
States,Alabama,2017,16,X,2.77162,X,X,X,X,X,X,200,23,7216
States,Texas,2017,16,X,3.39009,X,X,X,X,X,X,665,83,19616
States,Alabama,2017,17,X,2.05347,X,X,X,X,X,X,149,21,7256
States,Texas,2017,17,X,2.76932,X,X,X,X,X,X,755,101,27263
States,Alabama,2017,18,X,2.29982,X,X,X,X,X,X,164,23,7131
States,Texas,2017,18,X,2.62245,X,X,X,X,X,X,665,97,25358
States,Alabama,2017,19,X,2.32988,X,X,X,X,X,X,164,20,7039
States,Texas,2017,19,X,1.72152,X,X,X,X,X,X,419,98,24339
States,Alabama,2017,20,X,2.50634,X,X,X,X,X,X,168,22,6703
States,Texas,2017,20,X,2.30259,X,X,X,X,X,X,552,98,23973
States,Alabama,2017,21,X,2.03091,X,X,X,X,X,X,113,20,5564
States,Texas,2017,21,X,2.14023,X,X,X,X,X,X,471,94,22007
States,Alabama,2017,22,X,1.29626,X,X,X,X,X,X,62,19,4783
States,Texas,2017,22,X,1.79865,X,X,X,X,X,X,360,93,20015
States,Alabama,2017,23,X,1.0559,X,X,X,X,X,X,51,16,4830
States,Texas,2017,23,X,1.79529,X,X,X,X,X,X,385,96,21445
States,Alabama,2017,24,X,0.830171,X,X,X,X,X,X,35,14,4216
States,Texas,2017,24,X,1.57771,X,X,X,X,X,X,329,95,20853
States,Alabama,2017,25,X,1.1051,X,X,X,X,X,X,47,15,4253
States,Texas,2017,25,X,1.50002,X,X,X,X,X,X,302,92,20133
States,Alabama,2017,26,X,0.877588,X,X,X,X,X,X,39,14,4444
States,Texas,2017,26,X,1.52211,X,X,X,X,X,X,252,78,16556
States,Alabama,2017,27,X,0.934016,X,X,X,X,X,X,31,14,3319
States,Texas,2017,27,X,1.39677,X,X,X,X,X,X,256,94,18328
States,Alabama,2017,28,X,0.955483,X,X,X,X,X,X,44,13,4605
States,Texas,2017,28,X,1.21989,X,X,X,X,X,X,238,95,19510
States,Alabama,2017,29,X,0.687916,X,X,X,X,X,X,30,12,4361
States,Texas,2017,29,X,1.33324,X,X,X,X,X,X,182,77,13651
States,Alabama,2017,30,X,0.625698,X,X,X,X,X,X,28,14,4475
States,Texas,2017,30,X,1.33018,X,X,X,X,X,X,264,94,19847
States,Alabama,2017,31,X,0.608918,X,X,X,X,X,X,31,15,5091
States,Texas,2017,31,X,1.27357,X,X,X,X,X,X,260,95,20415
States,Alabama,2017,32,X,0.802016,X,X,X,X,X,X,35,14,4364
States,Texas,2017,32,X,1.04005,X,X,X,X,X,X,214,94,20576
States,Alabama,2017,33,X,1.34966,X,X,X,X,X,X,54,12,4001
States,Texas,2017,33,X,1.10367,X,X,X,X,X,X,206,80,18665
States,Alabama,2017,34,X,1.716,X,X,X,X,X,X,80,13,4662
States,Texas,2017,34,X,1.8906,X,X,X,X,X,X,347,77,18354
States,Alabama,2017,35,X,1.54497,X,X,X,X,X,X,73,11,4725
States,Texas,2017,35,X,1.895,X,X,X,X,X,X,331,76,17467
States,Alabama,2017,36,X,1.71125,X,X,X,X,X,X,87,16,5084
States,Texas,2017,36,X,2.01905,X,X,X,X,X,X,371,75,18375
States,Alabama,2017,37,X,1.74159,X,X,X,X,X,X,74,14,4249
States,Texas,2017,37,X,1.93658,X,X,X,X,X,X,477,92,24631
States,Alabama,2017,38,X,1.60263,X,X,X,X,X,X,83,17,5179
States,Texas,2017,38,X,1.77468,X,X,X,X,X,X,448,93,25244
States,Alabama,2017,39,X,1.73927,X,X,X,X,X,X,107,16,6152
States,Texas,2017,39,X,1.9715,X,X,X,X,X,X,494,90,25057
States,Alabama,2019,40,X,1.97633,X,X,X,X,X,X,937,101,47411
States,Texas,2019,40,X,2.15822,X,X,X,X,X,X,637,114,29515
States,Alabama,2019,41,X,1.8918,X,X,X,X,X,X,862,97,45565
States,Texas,2019,41,X,2.54297,X,X,X,X,X,X,759,116,29847
States,Alabama,2019,42,X,2.20263,X,X,X,X,X,X,947,97,42994
States,Texas,2019,42,X,2.55285,X,X,X,X,X,X,768,119,30084
States,Alabama,2019,43,X,2.35066,X,X,X,X,X,X,1066,96,45349
States,Texas,2019,43,X,3.23872,X,X,X,X,X,X,987,117,30475
States,Alabama,2019,44,X,2.64992,X,X,X,X,X,X,1209,97,45624
States,Texas,2019,44,X,3.70212,X,X,X,X,X,X,1124,121,30361
States,Alabama,2019,45,X,3.3596,X,X,X,X,X,X,1603,98,47714
States,Texas,2019,45,X,4.73487,X,X,X,X,X,X,1501,116,31701
States,Alabama,2019,46,X,3.65487,X,X,X,X,X,X,1724,97,47170
States,Texas,2019,46,X,4.78979,X,X,X,X,X,X,1456,111,30398
States,Alabama,2019,47,X,4.66176,X,X,X,X,X,X,2332,94,50024
States,Texas,2019,47,X,6.49962,X,X,X,X,X,X,2114,114,32525
States,Alabama,2019,48,X,4.70394,X,X,X,X,X,X,2048,98,43538
States,Texas,2019,48,X,7.33775,X,X,X,X,X,X,1783,117,24299
States,Alabama,2019,49,X,5.05257,X,X,X,X,X,X,2441,96,48312
States,Texas,2019,49,X,6.09199,X,X,X,X,X,X,1894,110,31090
States,Alabama,2019,50,X,5.58684,X,X,X,X,X,X,2728,97,48829
States,Texas,2019,50,X,8.66833,X,X,X,X,X,X,2124,98,24503
States,Alabama,2019,51,X,7.0398,X,X,X,X,X,X,3401,99,48311
States,Texas,2019,51,X,11.7639,X,X,X,X,X,X,2605,93,22144
States,Alabama,2019,52,X,8.72661,X,X,X,X,X,X,4240,99,48587
States,Texas,2019,52,X,15.3841,X,X,X,X,X,X,2343,90,15230
States,Alabama,2020,1,X,7.25851,X,X,X,X,X,X,3573,98,49225
States,Texas,2020,1,X,11.1836,X,X,X,X,X,X,2933,114,26226
States,Alabama,2020,2,X,5.37005,X,X,X,X,X,X,2504,98,46629
States,Texas,2020,2,X,10.007,X,X,X,X,X,X,3008,116,30059
States,Alabama,2020,3,X,5.63976,X,X,X,X,X,X,2668,97,47307
States,Texas,2020,3,X,10.6001,X,X,X,X,X,X,3100,114,29245
States,Alabama,2020,4,X,6.58426,X,X,X,X,X,X,3148,98,47811
States,Texas,2020,4,X,10.7496,X,X,X,X,X,X,3429,113,31899
States,Alabama,2020,5,X,9.02719,X,X,X,X,X,X,4688,99,51932
States,Texas,2020,5,X,11.1758,X,X,X,X,X,X,3799,116,33993
States,Alabama,2020,6,X,9.17458,X,X,X,X,X,X,4785,100,52155
States,Texas,2020,6,X,10.7808,X,X,X,X,X,X,3090,117,28662
States,Alabama,2020,7,X,7.54011,X,X,X,X,X,X,3750,100,49734
States,Texas,2020,7,X,9.62965,X,X,X,X,X,X,3076,114,31943
States,Alabama,2020,8,X,8.0918,X,X,X,X,X,X,1703,99,21046
States,Texas,2020,8,X,8.96708,X,X,X,X,X,X,2890,115,32229
States,Alabama,2020,9,X,6.04229,X,X,X,X,X,X,2849,100,47151
States,Texas,2020,9,X,7.76631,X,X,X,X,X,X,2454,111,31598
States,Alabama,2020,10,X,6.32549,X,X,X,X,X,X,3090,97,48850
States,Texas,2020,10,X,8.06613,X,X,X,X,X,X,2415,106,29940
States,Alabama,2020,11,X,6.10561,X,X,X,X,X,X,2968,97,48611
States,Texas,2020,11,X,6.9676,X,X,X,X,X,X,1789,108,25676
States,Alabama,2020,12,X,6.64586,X,X,X,X,X,X,2427,94,36519
States,Texas,2020,12,X,8.17144,X,X,X,X,X,X,1918,101,23472
States,Alabama,2020,13,X,4.64715,X,X,X,X,X,X,1319,93,28383
States,Texas,2020,13,X,4.72139,X,X,X,X,X,X,727,101,15398
States,Alabama,2020,14,X,3.23893,X,X,X,X,X,X,772,93,23835
States,Texas,2020,14,X,3.38493,X,X,X,X,X,X,398,93,11758
States,Alabama,2020,15,X,2.30453,X,X,X,X,X,X,532,92,23085
States,Texas,2020,15,X,2.90753,X,X,X,X,X,X,338,100,11625
States,Alabama,2020,16,X,2.0676,X,X,X,X,X,X,460,92,22248
States,Texas,2020,16,X,2.08505,X,X,X,X,X,X,228,95,10935
States,Alabama,2020,17,X,1.48028,X,X,X,X,X,X,346,92,23374
States,Texas,2020,17,X,2.0202,X,X,X,X,X,X,216,93,10692
States,Alabama,2020,18,X,1.25794,X,X,X,X,X,X,313,89,24882
States,Texas,2020,18,X,1.50659,X,X,X,X,X,X,128,78,8496
States,Alabama,2020,19,X,1.04723,X,X,X,X,X,X,288,88,27501
States,Texas,2020,19,X,1.28713,X,X,X,X,X,X,156,91,12120
States,Alabama,2020,20,X,1.08662,X,X,X,X,X,X,316,90,29081
States,Texas,2020,20,X,1.15489,X,X,X,X,X,X,153,92,13248
States,Alabama,2020,21,X,1.04093,X,X,X,X,X,X,322,91,30934
States,Texas,2020,21,X,1.1646,X,X,X,X,X,X,150,86,12880
States,Alabama,2020,22,X,0.888689,X,X,X,X,X,X,276,89,31057
States,Texas,2020,22,X,1.05852,X,X,X,X,X,X,123,78,11620
States,Alabama,2020,23,X,0.801545,X,X,X,X,X,X,249,78,31065
States,Texas,2020,23,X,0.925773,X,X,X,X,X,X,56,62,6049
